ig_handle,full_name,website,email,phone,followers,demo_url
smartglassdubai,Smartglassdubai,http://smartglassdubai.com/,sales@smartglassdubai.ae,(+971) 50 822 0175,26,https://renderalchemyofficial.github.io/dubai-pitches/demo/smartglassdubai.html
restandfeast,Feast and Rest,,not found,not found,16,
melcomarble,Melco Marble & Natural Stones,http://www.studiomel.com.tr/,ahmed@studiomel.com.tr,(+971) 50 592 4485,104,https://renderalchemyofficial.github.io/dubai-pitches/demo/melco-marble-natural-stones.html
almahaweer2,شركة المحاور للتصميم,https://heyzine.com/flip-book/291a6dbee4.html,not found,not found,12567,https://renderalchemyofficial.github.io/dubai-pitches/demo/.html
hsn_middleeast,HSN Middle East,http://www.me-hsn.ae/,admin@me-hsn.ae,(+971) 50 879 6164,1287,https://renderalchemyofficial.github.io/dubai-pitches/demo/hsn-middle-east.html
sector_quartet,sectorquartet,https://sectorquartet.ae/,info@sectorquartet.ae,(+971) 54 581 1936,85,https://renderalchemyofficial.github.io/dubai-pitches/demo/sectorquartet.html
studio.segreto,STUDIO SEGRETO | Custom-made solutions | Interior supplier,https://studiosegreto.com/,not found,not found,1367,https://renderalchemyofficial.github.io/dubai-pitches/demo/studio-segreto-custom-made-solutions-interior-supplier.html
pologres,PoloGres | Architectural Surfaces,http://www.pologres.in/,info@pologres.in,not found,714,https://renderalchemyofficial.github.io/dubai-pitches/demo/pologres-architectural-surfaces.html
monarchformdb,Monarch Design Build,http://www.monarchform.com/,info@monarchform.com,(+971) 50 112 2726,30,https://renderalchemyofficial.github.io/dubai-pitches/demo/monarch-design-build.html
sofabeddubai.official,Sofa Bed Dubai,,not found,(+971) 55 472 2980,6,
flooringdubaiofficial,Flooring,https://flooringdubai.com/,info@flooringdubai.com,(+971) 50 637 9229,366,https://renderalchemyofficial.github.io/dubai-pitches/demo/flooring.html
abudhabiartificialgrass,Abu dhabi Artificial Grass,https://abudhabiartificialgrass.com/,not found,(+971) 55 472 2980,79,https://renderalchemyofficial.github.io/dubai-pitches/demo/abu-dhabi-artificial-grass.html
home_decor_xperts,Home Decor Xperts,https://wa.me/971543176258,not found,not found,2677,https://renderalchemyofficial.github.io/dubai-pitches/demo/home-decor-xperts.html
fixitdesigndubai,FIXIT DESIGN CARPETS AND CURTAINS TRADING LLC,https://fixitdesign.ae/,info@fixitdesign.ae,(+971) 55 472 2980,4038,https://renderalchemyofficial.github.io/dubai-pitches/demo/fixit-design-carpets-and-curtains-trading-llc.html
bamboodecor.ae,BAMBOO DECOR®,,not found,not found,4129,
gymflooringdubai,Gym Flooring Dubai,,not found,(+971) 55 472 2980,14,
riwajdubai,Riwaj Dubai,,not found,(+971) 50 637 9229,43,
julanarhomedecor,Julanar Home Decor,https://julanarhomedecor.com/,not found,(+971) 56 447 9113,8,https://renderalchemyofficial.github.io/dubai-pitches/demo/julanar-home-decor.html
vismaravetro_middle_east,Vismaravetro Middle East,https://www.vismaravetro.it/en/,info@vismaravetro.it,not found,5,https://renderalchemyofficial.github.io/dubai-pitches/demo/vismaravetro-middle-east.html
zabeeldecor,Zabeel Decor,http://www.zabeeldecor.ae/,not found,(+971) 56 580 4804,231,https://renderalchemyofficial.github.io/dubai-pitches/demo/zabeel-decor.html
elliotjamesinterior,Elliot James Interiors,http://linktr.ee/elliotjamesinteriors/,careers@elliotjames.com,not found,19153,https://renderalchemyofficial.github.io/dubai-pitches/demo/elliot-james-interiors.html
samra_facilities_,Samra_Facilities,https://samrafm.com/,not found,not found,878,https://renderalchemyofficial.github.io/dubai-pitches/demo/samra-facilities.html
goldencastlehtllc,Golden Castle Hardware Trading LLC,https://goldencastlehardware.com/,not found,not found,708,https://renderalchemyofficial.github.io/dubai-pitches/demo/golden-castle-hardware-trading-llc.html
xfactorinteriordesigns,X Factor Designs | Interior Design Dubai,https://x-factordesigns.com/,not found,(+971) 54 735 0597,23,https://renderalchemyofficial.github.io/dubai-pitches/demo/x-factor-designs-interior-design-dubai.html
antonovich.design.dubai,Luxury Architecture • Interiors • Construction,http://api.whatsapp.com/send?phone=971542995555,not found,(+971) 54 299 5555,373359,https://renderalchemyofficial.github.io/dubai-pitches/demo/luxury-architecture-interiors-construction.html
wedo.global,wedo.global,,not found,not found,9,
